timestamp,cpu_usage,memory_usage,disk_io,network_latency,failure_cause
2025-07-14 08:45:21,37.91,40.97,230.56,169.95,Network Delay
2025-07-14 08:40:21,55.74,94.69,195.12,37.38,Memory Issue
2025-07-14 08:35:21,41.91,70.8,215.76,34.85,None
2025-07-14 08:30:21,66.96,40.77,197.1,78.57,None
2025-07-14 08:25:21,21.01,32.36,241.74,69.46,None
2025-07-14 08:20:21,98.7,34.06,238.31,68.95,CPU Overload
2025-07-14 08:15:21,46.75,81.08,135.57,59.95,None
2025-07-14 08:10:21,71.71,63.62,241.83,48.96,None
2025-07-14 08:05:21,41.38,100.0,141.67,24.15,None
2025-07-14 08:00:21,55.74,47.28,213.14,24.37,None
2025-07-14 07:55:21,75.88,59.56,587.27,61.59,Disk IO Bottleneck
2025-07-14 07:50:21,90.75,84.43,199.64,28.77,CPU Overload
2025-07-14 07:45:21,92.76,98.57,305.23,37.74,CPU Overload
2025-07-14 07:40:21,52.34,45.54,516.66,46.59,Disk IO Bottleneck
2025-07-14 07:35:21,76.99,76.17,403.89,39.44,Disk IO Bottleneck
2025-07-14 07:30:21,56.81,71.59,232.08,52.43,None
2025-07-14 07:25:21,40.58,98.47,214.26,59.94,None
2025-07-14 07:20:21,27.79,57.72,232.72,11.21,None
2025-07-14 07:15:21,55.54,59.42,162.5,47.11,None
2025-07-14 07:10:21,37.42,56.34,156.86,58.96,None
2025-07-14 07:05:21,91.45,58.54,254.31,34.03,CPU Overload
2025-07-14 07:00:21,56.55,32.4,329.58,61.65,None
2025-07-14 06:55:21,12.53,68.67,133.0,54.72,None
2025-07-14 06:50:21,65.34,83.93,317.54,184.93,Network Delay
2025-07-14 06:45:21,39.13,89.23,221.7,80.6,Memory Issue
2025-07-14 06:40:21,37.75,75.49,234.47,45.51,None
2025-07-14 06:35:21,39.75,43.73,117.23,48.69,None
2025-07-14 06:30:21,54.67,22.52,275.01,59.05,None
2025-07-14 06:25:21,48.42,82.32,279.5,52.36,None
2025-07-14 06:20:21,58.58,58.89,293.9,28.95,None
2025-07-14 06:15:21,52.82,55.18,582.77,59.47,Disk IO Bottleneck
2025-07-14 06:10:21,64.33,57.72,175.6,102.79,None
2025-07-14 06:05:21,98.19,61.88,245.08,74.74,CPU Overload
2025-07-14 06:00:21,24.99,89.56,179.65,55.85,None
2025-07-14 05:55:21,63.28,65.23,86.39,32.92,None
2025-07-14 05:50:21,55.81,54.5,208.06,24.28,None
2025-07-14 05:45:21,66.89,62.28,182.5,61.36,None
2025-07-14 05:40:21,42.58,40.38,502.39,49.12,Disk IO Bottleneck
2025-07-14 05:35:21,50.33,26.21,220.55,1.03,None
2025-07-14 05:30:21,64.09,80.6,88.58,67.07,None
2025-07-14 05:25:21,44.69,45.42,194.63,57.29,None
2025-07-14 05:20:21,47.1,51.01,200.76,8.9,None
2025-07-14 05:15:21,61.21,78.97,136.39,24.99,None
2025-07-14 05:10:21,43.71,86.6,210.65,8.97,Memory Issue
2025-07-14 05:05:21,45.54,86.91,162.26,46.57,None
2025-07-14 05:00:21,56.14,94.1,154.55,73.14,Memory Issue
2025-07-14 04:55:21,61.29,69.38,96.74,53.08,None
2025-07-14 04:50:21,77.8,43.56,189.1,27.49,None
2025-07-14 04:45:21,48.46,77.58,176.05,38.23,None
2025-07-14 04:40:21,70.24,53.37,164.73,71.05,None
2025-07-14 04:35:21,41.16,41.6,220.87,54.71,None
2025-07-14 04:30:21,81.12,80.76,495.75,44.04,Disk IO Bottleneck
2025-07-14 04:25:21,55.61,89.23,214.57,43.94,Memory Issue
2025-07-14 04:20:21,40.08,35.15,243.23,55.13,None
2025-07-14 04:15:21,55.72,54.31,195.56,80.74,None
2025-07-14 04:10:21,62.29,54.72,191.69,60.93,None
2025-07-14 04:05:21,96.71,41.86,161.66,11.51,CPU Overload
2025-07-14 04:00:21,31.96,86.32,189.0,71.12,None
2025-07-14 03:55:21,44.01,71.27,158.74,30.11,None
2025-07-14 03:50:21,96.3,69.47,174.36,42.35,CPU Overload
2025-07-14 03:45:21,48.56,43.74,179.16,22.41,None
2025-07-14 03:40:21,46.41,75.02,183.48,68.35,None
2025-07-14 03:35:21,97.23,47.56,217.66,36.18,CPU Overload
2025-07-14 03:30:21,68.11,30.26,132.52,57.31,None
2025-07-14 03:25:21,97.91,50.64,238.39,35.32,CPU Overload
2025-07-14 03:20:21,51.06,49.22,183.22,71.99,None
2025-07-14 03:15:21,36.85,69.03,221.73,68.69,None
2025-07-14 03:10:21,47.97,69.23,206.02,54.17,None
2025-07-14 03:05:21,47.72,37.09,155.84,64.81,None
2025-07-14 03:00:21,97.03,94.36,239.18,49.08,CPU Overload
2025-07-14 02:55:21,90.43,84.43,280.22,44.59,CPU Overload
2025-07-14 02:50:21,21.1,86.61,195.82,51.82,Memory Issue
2025-07-14 02:45:21,32.92,17.08,447.3,12.55,Disk IO Bottleneck
2025-07-14 02:40:21,39.1,59.8,466.73,53.32,Disk IO Bottleneck
2025-07-14 02:35:21,49.05,66.99,282.25,187.11,Network Delay
2025-07-14 02:30:21,22.49,28.64,213.31,62.75,None
2025-07-14 02:25:21,46.05,30.41,206.33,9.19,None
2025-07-14 02:20:21,34.98,99.9,238.65,69.65,None
2025-07-14 02:15:21,57.3,65.62,245.14,23.62,None
2025-07-14 02:10:21,62.25,54.88,564.62,51.35,Disk IO Bottleneck
2025-07-14 02:05:21,98.58,23.43,187.73,73.6,CPU Overload
2025-07-14 02:00:21,61.86,69.93,490.0,46.67,Disk IO Bottleneck
2025-07-14 01:55:21,99.16,67.27,166.17,52.14,CPU Overload
2025-07-14 01:50:21,53.55,53.62,234.36,34.01,None
2025-07-14 01:45:21,26.94,96.44,515.15,45.65,Disk IO Bottleneck
2025-07-14 01:40:21,53.47,59.59,179.0,39.78,None
2025-07-14 01:35:21,52.19,66.65,193.69,45.67,None
2025-07-14 01:30:21,64.0,74.13,101.17,27.77,None
2025-07-14 01:25:21,69.65,85.68,283.89,60.5,None
2025-07-14 01:20:21,48.71,86.48,235.32,51.59,Memory Issue
2025-07-14 01:15:21,48.4,66.39,185.74,154.47,Network Delay
2025-07-14 01:10:21,97.31,78.83,195.94,26.86,CPU Overload
2025-07-14 01:05:21,71.0,37.24,197.58,54.3,None
2025-07-14 01:00:21,43.46,39.84,277.59,67.62,None
2025-07-14 00:55:21,99.46,72.4,243.53,65.44,CPU Overload
2025-07-14 00:50:21,44.18,85.39,165.38,42.35,Memory Issue
2025-07-14 00:45:21,57.84,62.44,196.94,22.99,None
2025-07-14 00:40:21,41.92,61.95,265.24,71.17,None
2025-07-14 00:35:21,97.11,84.67,233.49,75.36,CPU Overload
2025-07-14 00:30:21,96.28,98.25,152.58,31.48,CPU Overload
2025-07-14 00:25:21,99.87,72.58,164.27,44.89,CPU Overload
2025-07-14 00:20:21,52.68,92.2,169.76,34.49,Memory Issue
2025-07-14 00:15:21,68.21,99.1,142.8,54.62,Memory Issue
2025-07-14 00:10:21,79.91,100.0,164.71,33.78,None
2025-07-14 00:05:21,30.29,73.24,237.83,91.74,None
2025-07-14 00:00:21,30.37,67.58,126.93,45.67,None
2025-07-13 23:55:21,35.22,33.87,270.1,46.88,None
2025-07-13 23:50:21,63.0,73.59,227.53,27.63,None
2025-07-13 23:45:21,38.62,52.86,173.69,41.81,None
2025-07-13 23:40:21,94.35,56.13,179.19,39.16,CPU Overload
2025-07-13 23:35:21,47.01,66.11,240.43,39.95,None
2025-07-13 23:30:21,42.59,37.61,153.36,55.88,None
2025-07-13 23:25:21,11.74,100.0,152.2,54.88,Memory Issue
2025-07-13 23:20:21,95.17,35.71,183.73,57.46,CPU Overload
2025-07-13 23:15:21,57.13,53.39,135.02,16.65,None
2025-07-13 23:10:21,52.25,4.38,215.73,52.27,None
2025-07-13 23:05:21,15.61,57.86,143.09,103.69,Network Delay
2025-07-13 23:00:21,90.93,100.0,163.87,28.27,CPU Overload
2025-07-13 22:55:21,51.31,74.15,433.21,87.36,Disk IO Bottleneck
2025-07-13 22:50:21,25.48,61.56,226.02,76.32,None
2025-07-13 22:45:21,65.13,50.89,136.3,74.65,None
2025-07-13 22:40:21,49.44,66.79,165.96,61.96,None
2025-07-13 22:35:21,94.17,67.73,246.44,69.56,CPU Overload
2025-07-13 22:30:21,51.74,47.81,266.99,36.32,None
2025-07-13 22:25:21,71.72,39.44,221.01,71.4,None
2025-07-13 22:20:21,51.79,58.69,96.74,46.71,None
2025-07-13 22:15:21,64.63,100.0,296.85,68.68,None
2025-07-13 22:10:21,96.47,55.38,202.36,79.55,CPU Overload
2025-07-13 22:05:21,41.53,38.22,167.03,31.51,None
2025-07-13 22:00:21,54.31,44.19,473.07,53.96,Disk IO Bottleneck
2025-07-13 21:55:21,67.99,94.28,171.76,33.05,None
2025-07-13 21:50:21,45.7,52.24,282.6,79.45,None
2025-07-13 21:45:21,68.28,73.7,123.47,33.92,None
2025-07-13 21:40:21,47.32,79.87,137.08,88.13,None
2025-07-13 21:35:21,30.35,46.42,120.54,27.91,None
2025-07-13 21:30:21,66.73,24.84,192.86,123.54,Network Delay
2025-07-13 21:25:21,56.57,57.41,485.56,92.67,Disk IO Bottleneck
2025-07-13 21:20:21,31.13,61.71,204.8,45.24,None
2025-07-13 21:15:21,39.6,94.41,144.67,37.75,None
2025-07-13 21:10:21,41.56,71.14,140.72,23.09,None
2025-07-13 21:05:21,40.03,69.41,164.8,35.78,None
2025-07-13 21:00:21,39.24,61.41,277.06,66.42,None
2025-07-13 20:55:21,93.18,60.2,159.62,19.2,CPU Overload
2025-07-13 20:50:21,98.67,50.7,109.36,31.34,CPU Overload
2025-07-13 20:45:21,34.78,29.41,264.79,78.04,None
2025-07-13 20:40:21,24.71,83.79,139.5,197.5,Network Delay
2025-07-13 20:35:21,60.03,85.58,202.57,57.94,Memory Issue
2025-07-13 20:30:21,39.19,92.19,207.35,43.83,None
2025-07-13 20:25:21,45.7,38.2,500.46,57.07,Disk IO Bottleneck
2025-07-13 20:20:21,48.13,83.84,177.9,56.12,None
2025-07-13 20:15:21,50.81,53.93,141.07,46.79,None
2025-07-13 20:10:21,46.55,91.0,239.07,16.64,Memory Issue
2025-07-13 20:05:21,66.28,53.86,190.78,47.83,None
2025-07-13 20:00:21,97.62,33.97,170.08,31.25,CPU Overload
2025-07-13 19:55:21,93.71,6.05,187.54,42.76,CPU Overload
2025-07-13 19:50:21,63.46,36.93,87.95,32.98,None
2025-07-13 19:45:21,61.86,74.45,141.25,61.99,None
2025-07-13 19:40:21,70.5,96.22,268.24,49.85,Memory Issue
2025-07-13 19:35:21,60.92,78.06,215.64,54.13,None
2025-07-13 19:30:21,96.24,53.23,172.99,77.72,CPU Overload
2025-07-13 19:25:21,38.22,83.1,168.95,26.79,None
2025-07-13 19:20:21,37.94,40.47,298.61,58.97,None
2025-07-13 19:15:21,44.26,62.99,193.49,72.44,None
2025-07-13 19:10:21,52.45,94.22,247.61,53.44,Memory Issue
2025-07-13 19:05:21,29.63,49.79,479.27,38.9,Disk IO Bottleneck
2025-07-13 19:00:21,51.4,71.09,198.54,64.58,None
2025-07-13 18:55:21,72.17,85.36,196.57,47.42,None
2025-07-13 18:50:21,65.54,39.52,159.24,15.18,None
2025-07-13 18:45:21,37.61,92.32,222.15,70.35,Memory Issue
2025-07-13 18:40:21,80.72,89.94,154.13,41.16,Memory Issue
2025-07-13 18:35:21,69.4,88.64,479.32,42.34,Disk IO Bottleneck
2025-07-13 18:30:21,49.78,35.9,144.01,42.14,None
2025-07-13 18:25:21,54.52,69.68,211.12,46.28,None
2025-07-13 18:20:21,94.38,45.96,194.1,59.54,CPU Overload
2025-07-13 18:15:21,25.97,22.73,195.25,12.3,None
2025-07-13 18:10:21,39.68,30.24,254.53,52.18,None
2025-07-13 18:05:21,68.86,57.9,545.22,13.42,Disk IO Bottleneck
2025-07-13 18:00:21,48.7,49.63,272.09,60.99,None
2025-07-13 17:55:21,36.18,12.18,117.7,41.67,None
2025-07-13 17:50:21,29.94,99.49,315.61,49.52,Memory Issue
2025-07-13 17:45:21,46.56,84.01,190.96,48.64,None
2025-07-13 17:40:21,50.63,60.66,222.71,61.26,None
2025-07-13 17:35:21,29.55,69.01,141.21,68.62,None
2025-07-13 17:30:21,42.5,52.7,188.66,52.5,None
2025-07-13 17:25:21,81.81,76.88,201.78,25.32,None
2025-07-13 17:20:21,49.49,65.46,164.98,170.01,Network Delay
2025-07-13 17:15:21,84.75,75.87,177.23,9.14,None
2025-07-13 17:10:21,78.94,36.46,236.13,51.73,None
2025-07-13 17:05:21,92.64,55.08,180.48,60.64,CPU Overload
2025-07-13 17:00:21,54.07,59.47,201.32,46.87,None
2025-07-13 16:55:21,67.07,75.05,407.69,53.29,Disk IO Bottleneck
2025-07-13 16:50:21,55.95,20.55,246.38,51.01,None
2025-07-13 16:45:21,32.56,44.57,156.47,56.64,None
2025-07-13 16:40:21,38.63,65.06,140.51,82.86,None
2025-07-13 16:35:21,48.17,97.85,222.62,52.36,None
2025-07-13 16:30:21,19.27,48.94,246.6,34.89,None
2025-07-13 16:25:21,39.6,8.02,179.03,26.31,None
2025-07-13 16:20:21,71.49,99.71,116.41,91.22,Memory Issue
2025-07-13 16:15:21,34.23,47.1,167.27,72.29,None
2025-07-13 16:10:21,47.9,41.58,204.98,51.85,None
2025-07-13 16:05:21,49.42,46.97,248.3,31.12,None
2025-07-13 16:00:21,72.02,42.83,99.73,68.94,None
2025-07-13 15:55:21,44.82,78.02,239.81,47.1,None
2025-07-13 15:50:21,37.14,39.64,280.95,56.49,None
2025-07-13 15:45:21,42.32,62.72,222.8,55.87,None
2025-07-13 15:40:21,99.25,62.67,293.91,61.62,CPU Overload
2025-07-13 15:35:21,63.0,46.86,185.74,64.75,None
2025-07-13 15:30:21,25.5,66.7,80.54,29.64,None
2025-07-13 15:25:21,37.99,9.83,295.96,72.79,None
2025-07-13 15:20:21,33.52,93.77,111.41,50.48,Memory Issue
2025-07-13 15:15:21,40.74,47.23,230.03,35.75,None
2025-07-13 15:10:21,38.38,71.13,244.44,57.6,None
2025-07-13 15:05:21,34.13,38.82,170.89,125.67,Network Delay
2025-07-13 15:00:21,55.43,46.97,246.08,53.58,None
2025-07-13 14:55:21,68.11,58.18,165.85,79.65,None
2025-07-13 14:50:21,35.93,48.04,196.86,66.18,None
2025-07-13 14:45:21,30.63,62.01,210.28,130.77,Network Delay
2025-07-13 14:40:21,60.94,82.28,117.91,64.66,None
2025-07-13 14:35:21,64.64,74.96,328.36,49.42,None
2025-07-13 14:30:21,56.94,98.75,156.0,84.85,None
2025-07-13 14:25:21,91.93,78.97,146.56,14.31,CPU Overload
2025-07-13 14:20:21,68.06,86.89,171.25,43.66,None
2025-07-13 14:15:21,44.5,78.52,593.74,65.31,Disk IO Bottleneck
2025-07-13 14:10:21,61.96,30.17,200.33,37.28,None
2025-07-13 14:05:21,49.66,65.67,153.84,46.24,None
2025-07-13 14:00:21,96.26,84.51,154.35,59.43,CPU Overload
2025-07-13 13:55:21,42.11,85.83,126.5,30.8,None
2025-07-13 13:50:21,94.51,100.0,182.02,52.46,CPU Overload
2025-07-13 13:45:21,67.73,46.59,233.84,57.22,None
2025-07-13 13:40:21,40.76,84.16,340.49,52.14,None
2025-07-13 13:35:21,37.91,85.55,165.74,48.26,Memory Issue
2025-07-13 13:30:21,67.33,89.07,128.61,56.56,Memory Issue
2025-07-13 13:25:21,42.46,72.44,171.94,64.44,None
2025-07-13 13:20:21,58.65,33.55,200.65,42.46,None
2025-07-13 13:15:21,33.45,27.52,204.09,175.4,Network Delay
2025-07-13 13:10:21,67.34,89.22,176.32,51.72,Memory Issue
2025-07-13 13:05:21,37.13,24.32,173.65,30.07,None
2025-07-13 13:00:21,60.54,84.94,169.87,65.88,None
2025-07-13 12:55:21,68.53,35.51,206.54,161.51,Network Delay
2025-07-13 12:50:21,58.81,64.28,259.45,59.6,None
2025-07-13 12:45:21,44.9,95.24,176.45,19.24,Memory Issue
2025-07-13 12:40:21,29.1,91.7,111.34,158.11,Network Delay
2025-07-13 12:35:21,68.57,100.0,196.14,46.4,None
2025-07-13 12:30:21,90.05,47.37,205.4,31.35,CPU Overload
2025-07-13 12:25:21,40.17,61.76,218.34,42.46,None
2025-07-13 12:20:21,74.0,89.69,91.05,45.19,Memory Issue
2025-07-13 12:15:21,32.65,41.63,220.74,28.08,None
2025-07-13 12:10:21,52.78,39.53,263.58,40.23,None
2025-07-13 12:05:21,37.09,85.19,277.96,22.44,Memory Issue
2025-07-13 12:00:21,51.1,78.9,195.2,59.04,None
2025-07-13 11:55:21,24.88,52.29,214.47,64.18,None
2025-07-13 11:50:21,53.15,70.29,96.74,47.17,None
2025-07-13 11:45:21,33.02,74.93,209.25,46.13,None
2025-07-13 11:40:21,71.17,0.81,188.05,53.46,None
2025-07-13 11:35:21,39.4,90.02,221.37,50.22,Memory Issue
2025-07-13 11:30:21,56.95,32.96,198.17,51.0,None
2025-07-13 11:25:21,54.24,35.85,537.94,61.08,Disk IO Bottleneck
2025-07-13 11:20:21,71.16,65.84,159.17,66.43,None
2025-07-13 11:15:21,35.61,73.51,213.67,176.67,Network Delay
2025-07-13 11:10:21,43.34,94.11,148.01,19.66,Memory Issue
2025-07-13 11:05:21,51.15,67.55,137.77,35.36,None
2025-07-13 11:00:21,59.53,46.4,138.36,75.22,None
2025-07-13 10:55:21,22.64,54.22,138.31,47.86,None
2025-07-13 10:50:21,69.31,10.98,263.21,42.89,None
2025-07-13 10:45:21,43.18,74.82,174.86,36.92,None
2025-07-13 10:40:21,96.59,65.64,180.48,82.41,CPU Overload
2025-07-13 10:35:21,62.92,46.84,229.96,66.25,None
2025-07-13 10:30:21,69.74,94.95,169.54,83.62,Memory Issue
2025-07-13 10:25:21,40.02,57.15,240.11,37.63,None
2025-07-13 10:20:21,77.93,56.45,239.08,53.07,None
2025-07-13 10:15:21,52.14,21.2,123.3,56.72,None
2025-07-13 10:10:21,40.75,54.09,142.04,72.57,None
2025-07-13 10:05:21,59.19,40.1,241.3,3.07,None
2025-07-13 10:00:21,53.25,56.59,93.23,38.92,None
2025-07-13 09:55:21,67.42,44.04,204.08,62.24,None
2025-07-13 09:50:21,51.54,38.98,176.9,39.97,None
2025-07-13 09:45:21,46.43,99.76,294.78,48.55,Memory Issue
2025-07-13 09:40:21,44.34,83.41,165.04,57.53,None
2025-07-13 09:35:21,69.49,65.8,201.55,46.48,None
2025-07-13 09:30:21,40.28,74.39,163.54,32.64,None
2025-07-13 09:25:21,54.93,55.65,201.09,66.37,None
2025-07-13 09:20:21,46.19,100.0,197.45,44.23,None
2025-07-13 09:15:21,91.25,52.14,178.39,38.01,CPU Overload
2025-07-13 09:10:21,90.43,62.56,157.67,63.63,CPU Overload
2025-07-13 09:05:21,65.23,53.52,271.65,60.4,None
2025-07-13 09:00:21,57.1,69.44,125.31,71.92,None
2025-07-13 08:55:21,59.48,49.21,110.42,32.28,None
2025-07-13 08:50:21,46.22,54.59,200.68,82.01,None
2025-07-13 08:45:21,44.51,34.6,268.62,80.24,None
2025-07-13 08:40:21,37.3,37.77,194.57,120.13,Network Delay
2025-07-13 08:35:21,47.1,51.86,269.8,67.35,None
2025-07-13 08:30:21,63.31,94.96,175.15,8.35,Memory Issue
2025-07-13 08:25:21,64.64,88.7,59.85,67.34,Memory Issue
2025-07-13 08:20:21,41.52,67.68,199.36,55.83,None
2025-07-13 08:15:21,45.65,63.37,217.39,41.98,None
2025-07-13 08:10:21,50.66,87.62,247.58,56.67,None
2025-07-13 08:05:21,95.64,67.1,217.91,51.66,CPU Overload
2025-07-13 08:00:21,65.01,65.12,256.45,101.57,Network Delay
2025-07-13 07:55:21,53.68,72.83,244.36,66.6,None
2025-07-13 07:50:21,44.23,37.91,172.02,37.34,None
2025-07-13 07:45:21,72.32,52.25,89.84,56.47,None
2025-07-13 07:40:21,73.33,52.62,194.16,27.04,None
2025-07-13 07:35:21,35.51,100.0,150.39,48.11,None
2025-07-13 07:30:21,48.18,40.53,173.58,22.25,None
2025-07-13 07:25:21,52.87,68.65,156.43,186.57,Network Delay
2025-07-13 07:20:21,49.01,91.92,196.73,44.21,Memory Issue
2025-07-13 07:15:21,25.94,43.82,170.04,72.07,None
2025-07-13 07:10:21,92.65,73.51,194.43,63.44,CPU Overload
2025-07-13 07:05:21,67.51,30.8,166.03,169.1,Network Delay
2025-07-13 07:00:21,40.29,85.69,190.96,51.19,Memory Issue
2025-07-13 06:55:21,52.64,51.25,250.58,35.28,None
2025-07-13 06:50:21,52.9,57.25,217.15,54.77,None
2025-07-13 06:45:21,50.53,55.75,216.59,56.29,None
2025-07-13 06:40:21,42.13,46.84,157.33,2.49,None
2025-07-13 06:35:21,34.46,78.85,238.17,0.0,None
2025-07-13 06:30:21,96.26,62.44,217.07,57.68,CPU Overload
2025-07-13 06:25:21,52.47,32.1,226.51,76.27,None
2025-07-13 06:20:21,46.6,79.75,182.29,81.99,None
2025-07-13 06:15:21,91.03,62.56,248.99,13.86,CPU Overload
2025-07-13 06:10:21,57.33,54.35,198.92,189.63,Network Delay
2025-07-13 06:05:21,31.8,0.0,175.72,89.41,None
2025-07-13 06:00:21,44.22,48.09,472.17,27.17,Disk IO Bottleneck
2025-07-13 05:55:21,44.85,47.14,114.57,30.51,None
2025-07-13 05:50:21,41.55,47.06,260.9,43.12,None
2025-07-13 05:45:21,23.71,37.11,184.37,43.16,None
2025-07-13 05:40:21,61.39,85.79,235.89,29.04,None
2025-07-13 05:35:21,79.15,83.62,222.39,40.47,None
2025-07-13 05:30:21,75.66,63.12,225.39,67.11,None
2025-07-13 05:25:21,40.23,75.45,535.53,85.6,Disk IO Bottleneck
2025-07-13 05:20:21,42.45,82.69,210.25,115.78,Network Delay
2025-07-13 05:15:21,50.74,71.11,313.53,38.07,None
2025-07-13 05:10:21,66.88,63.83,173.87,36.2,None
2025-07-13 05:05:21,62.78,100.0,137.66,64.48,None
2025-07-13 05:00:21,91.2,52.79,154.15,36.34,CPU Overload
2025-07-13 04:55:21,23.21,46.68,105.53,47.91,None
2025-07-13 04:50:21,52.58,98.42,184.62,80.05,Memory Issue
2025-07-13 04:45:21,83.52,63.96,209.3,77.17,None
2025-07-13 04:40:21,72.23,52.56,232.38,21.46,None
2025-07-13 04:35:21,60.79,68.54,570.13,45.55,Disk IO Bottleneck
2025-07-13 04:30:21,59.55,13.38,125.07,55.33,None
2025-07-13 04:25:21,99.09,75.31,225.04,78.02,CPU Overload
2025-07-13 04:20:21,42.14,87.43,229.46,61.22,None
2025-07-13 04:15:21,43.0,41.94,173.63,176.66,Network Delay
2025-07-13 04:10:21,38.14,62.12,237.37,53.35,None
2025-07-13 04:05:21,36.4,91.28,154.43,63.06,Memory Issue
2025-07-13 04:00:21,49.74,48.5,236.94,24.77,None
2025-07-13 03:55:21,58.3,45.37,145.32,37.94,None
2025-07-13 03:50:21,37.37,67.26,209.91,43.32,None
2025-07-13 03:45:21,44.93,28.35,556.95,27.21,Disk IO Bottleneck
2025-07-13 03:40:21,50.57,46.62,143.33,49.83,None
2025-07-13 03:35:21,38.92,48.22,226.39,51.05,None
2025-07-13 03:30:21,98.79,75.14,259.5,53.48,CPU Overload
2025-07-13 03:25:21,82.05,73.29,278.14,15.73,None
2025-07-13 03:20:21,40.14,16.52,136.04,69.72,None
2025-07-13 03:15:21,43.12,54.75,154.0,22.92,None
2025-07-13 03:10:21,16.36,59.03,213.59,94.4,None
2025-07-13 03:05:21,96.58,83.64,161.42,48.65,CPU Overload
2025-07-13 03:00:21,67.49,78.57,104.53,75.48,None
2025-07-13 02:55:21,55.24,61.38,164.67,63.49,None
2025-07-13 02:50:21,62.09,90.32,172.42,45.96,Memory Issue
2025-07-13 02:45:21,65.25,60.22,237.52,44.76,None
2025-07-13 02:40:21,52.94,83.08,157.88,68.69,None
2025-07-13 02:35:21,55.67,37.42,153.69,39.58,None
2025-07-13 02:30:21,38.7,90.11,129.16,59.84,Memory Issue
2025-07-13 02:25:21,28.97,56.04,143.68,52.49,None
2025-07-13 02:20:21,65.41,53.42,204.9,56.62,None
2025-07-13 02:15:21,53.93,91.8,186.53,43.5,None
2025-07-13 02:10:21,55.9,38.47,155.49,55.38,None
2025-07-13 02:05:21,58.95,63.91,255.36,61.82,None
2025-07-13 02:00:21,64.03,57.49,334.25,79.82,None
2025-07-13 01:55:21,60.51,80.47,199.14,22.36,None
2025-07-13 01:50:21,61.15,81.1,178.6,185.99,Network Delay
2025-07-13 01:45:21,64.56,61.77,151.32,17.16,None
2025-07-13 01:40:21,95.65,92.95,282.18,7.8,CPU Overload
2025-07-13 01:35:21,66.44,56.08,193.61,61.14,None
